doi,authors,first_author,title,short_title,year,journal,key
10.1177/03635465241254048,"Mo IF, Harlem T, Faleide AGH, Strand T, Vindfeld S, Solheim E, Inderhaug E.",Mo,ACL Reconstruction Using Quadrupled Semitendinosus Versus Double-Stranded Semitendinosus and Gracilis Autograft: 2-Year Results From a Prospective Randomized Controlled Study,aclreconstructionusingquadrupledsemitendinosusversusdoublestrandedsemitendinosusandgracilisautograft:2yearresultsfromaprospectiverandomizedcontrolledstudy,2024,Am J Sports Med,Mo+aclreconstructionusingquadrupledsemitendinosusversusdoublestrandedsemitendinosusandgracilisautograft:2yearresultsfromaprospectiverandomizedcontrolledstudy+2024
10.7507/1002-1892.202402054,"Yu H, Dong Z, Shi Z, Li L, Dong K, Liu H, Li Y.",Yu,[Early effectiveness of local injection of multimodal drug cocktail during anterior cruciate ligament reconstruction and its influence on cartilage],earlyeffectivenessoflocalinjectionofmultimodaldrugcocktailduringanteriorcruciateligamentreconstructionanditsinfluenceoncartilage,2024,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,Yu+earlyeffectivenessoflocalinjectionofmultimodaldrugcocktailduringanteriorcruciateligamentreconstructionanditsinfluenceoncartilage+2024
10.1177/03635465231222279,"Ebert JR, Calvert ND, Radic R.",Ebert,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction,aprospectiverandomizedcontrolledtrialinvestigatingquadricepsversushamstringtendonautograftinanteriorcruciateligamentreconstruction,2024,Am J Sports Med,Ebert+aprospectiverandomizedcontrolledtrialinvestigatingquadricepsversushamstringtendonautograftinanteriorcruciateligamentreconstruction+2024
10.1186/s12893-023-02271-5,"Ma W, Yang Y, Ha X.",Ma,Two-stage ligament reconstruction with remnant preservation as treatment of knee dislocation,twostageligamentreconstructionwithremnantpreservationastreatmentofkneedislocation,2023,BMC Surg,Ma+twostageligamentreconstructionwithremnantpreservationastreatmentofkneedislocation+2023
10.1038/s41598-023-45817-6,"Chen J, Wu T, Guo Y.",Chen,"Nordic hamstring exercises in functional knee rehabilitation after anterior cruciate ligament reconstruction: a prospective, randomised, controlled study",nordichamstringexercisesinfunctionalkneerehabilitationafteranteriorcruciateligamentreconstruction:aprospectiverandomisedcontrolledstudy,2023,Sci Rep,Chen+nordichamstringexercisesinfunctionalkneerehabilitationafteranteriorcruciateligamentreconstruction:aprospectiverandomisedcontrolledstudy+2023
10.1016/j.jisako.2022.04.002,"Cruz CA, Mannino BJ, Pike A, Thoma D, Lindell K, Kerbel YE, McCadden A, Lopez AJ, Bottoni CR.",Cruz,Increased posterior tibial slope is an independent risk factor of anterior cruciate ligament reconstruction graft rupture irrespective of graft choice,increasedposteriortibialslopeisanindependentriskfactorofanteriorcruciateligamentreconstructiongraftruptureirrespectiveofgraftchoice,2022,J ISAKOS,Cruz+increasedposteriortibialslopeisanindependentriskfactorofanteriorcruciateligamentreconstructiongraftruptureirrespectiveofgraftchoice+2022
10.1007/s00590-023-03636-5,"Tang N, Eren M, Gurpinar T, Ozturkmen Y.",Tang,A prospective randomized controlled study of hamstring and bone-free quadriceps tendons autografts in arthroscopic ACL reconstruction,aprospectiverandomizedcontrolledstudyofhamstringandbonefreequadricepstendonsautograftsinarthroscopicaclreconstruction,2024,Eur J Orthop Surg Traumatol,Tang+aprospectiverandomizedcontrolledstudyofhamstringandbonefreequadricepstendonsautograftsinarthroscopicaclreconstruction+2024
10.1016/j.arthro.2023.05.019,"Rezansoff A, Firth AD, Bryant DM, Litchfield R, McCormack RG, Heard M, MacDonald PB, Spalding T, Verdonk PCM, Peterson D, Bardana D; STABILITY Study Group; Getgood AMJ.",Rezansoff,Anterior Cruciate Ligament Reconstruction Plus Lateral Extra-articular Tenodesis Has a Similar Return-to-Sport Rate to Anterior Cruciate Ligament Reconstruction Alone but a Lower Failure Rate,anteriorcruciateligamentreconstructionpluslateralextraarticulartenodesishasasimilarreturntosportratetoanteriorcruciateligamentreconstructionalonebutalowerfailurerate,2024,Arthroscopy,Rezansoff+anteriorcruciateligamentreconstructionpluslateralextraarticulartenodesishasasimilarreturntosportratetoanteriorcruciateligamentreconstructionalonebutalowerfailurerate+2024
10.1007/s00590-023-03522-0,"Mousavi SH, Radi M, Kazemi D, Izadpanah F, Shahrouzian A.",Mousavi,Evaluation the results of anterior cruciate ligament reconstruction with or without using antibiotic solution during graft preparation,evaluationtheresultsofanteriorcruciateligamentreconstructionwithorwithoutusingantibioticsolutionduringgraftpreparation,2023,Eur J Orthop Surg Traumatol,Mousavi+evaluationtheresultsofanteriorcruciateligamentreconstructionwithorwithoutusingantibioticsolutionduringgraftpreparation+2023
10.1177/19417381231155120,"Zarzycki R, Cummer K, Arhos E, Failla M, Capin JJ, Smith AH, Snyder-Mackler L.",Zarzycki,Female Athletes With Better Psychological Readiness Are at Higher Risk for Second ACL Injury After Primary ACL Reconstruction,femaleathleteswithbetterpsychologicalreadinessareathigherriskforsecondaclinjuryafterprimaryaclreconstruction,2024,Sports Health,Zarzycki+femaleathleteswithbetterpsychologicalreadinessareathigherriskforsecondaclinjuryafterprimaryaclreconstruction+2024
10.1177/03635465221149738,"Kuliński K, Waśko MK, Tramś E, Malesa K, Pomianowski S, Kamiński R.",Kuliński,"Anterior Cruciate Ligament Reconstruction Using a 4-Strand Semitendinosus Tendon Graft or a Doubled Semitendinosus and Gracilis Tendon Graft: A 4.5-Year Prospective, Randomized, Double-Blind, Parallel-Group Study",anteriorcruciateligamentreconstructionusinga4strandsemitendinosustendongraftoradoubledsemitendinosusandgracilistendongraft:a45yearprospectiverandomizeddoubleblindparallelgroupstudy,2023,Am J Sports Med,Kuliński+anteriorcruciateligamentreconstructionusinga4strandsemitendinosustendongraftoradoubledsemitendinosusandgracilistendongraft:a45yearprospectiverandomizeddoubleblindparallelgroupstudy+2023
10.1016/j.injury.2023.01.033,"El-Azab H, Moursy M, Mohamed MA, Elsayed M.",El-Azab,A comparison of the outcomes of anterior curciate ligament reconstruction with large-size graft versus reconstruction with average-size graft combined with extraarticular tenodesis,acomparisonoftheoutcomesofanteriorcurciateligamentreconstructionwithlargesizegraftversusreconstructionwithaveragesizegraftcombinedwithextraarticulartenodesis,2023,Injury,El-Azab+acomparisonoftheoutcomesofanteriorcurciateligamentreconstructionwithlargesizegraftversusreconstructionwithaveragesizegraftcombinedwithextraarticulartenodesis+2023
10.1016/j.jisako.2022.12.001,"Heard M, Marmura H, Bryant D, Litchfield R, McCormack R, MacDonald P, Spalding T, Verdonk P, Peterson D, Bardana D, Rezansoff A; STABILITY Study Group; Getgood A.",Heard,No increase in adverse events with lateral extra-articular tenodesis augmentation of anterior cruciate ligament reconstruction - Results from the stability randomized trial,noincreaseinadverseeventswithlateralextraarticulartenodesisaugmentationofanteriorcruciateligamentreconstructionresultsfromthestabilityrandomizedtrial,2023,J ISAKOS,Heard+noincreaseinadverseeventswithlateralextraarticulartenodesisaugmentationofanteriorcruciateligamentreconstructionresultsfromthestabilityrandomizedtrial+2023
10.2340/jrm.v54.2550,"Vieira de Melo RF, Komatsu WR, Freitas MS, Vieira de Melo ME, Cohen M.",Vieira,Comparison of Quadriceps and Hamstring Muscle Strength after Exercises with and without Blood Flow Restriction following Anterior Cruciate Ligament Surgery: A Randomized Controlled Trial,comparisonofquadricepsandhamstringmusclestrengthafterexerciseswithandwithoutbloodflowrestrictionfollowinganteriorcruciateligamentsurgery:arandomizedcontrolledtrial,2022,J Rehabil Med,Vieira+comparisonofquadricepsandhamstringmusclestrengthafterexerciseswithandwithoutbloodflowrestrictionfollowinganteriorcruciateligamentsurgery:arandomizedcontrolledtrial+2022
10.1177/03635465221117777,"Glasbrenner J, Raschke MJ, Kittl C, Herbst E, Peez C, Briese T, Michel PA, Herbort M, Kösters C, Schliemann B.",Glasbrenner,Comparable Instrumented Knee Joint Laxity and Patient-Reported Outcomes After ACL Repair With Dynamic Intraligamentary Stabilization or ACL Reconstruction: 5-Year Results of a Randomized Controlled Trial,comparableinstrumentedkneejointlaxityandpatientreportedoutcomesafteraclrepairwithdynamicintraligamentarystabilizationoraclreconstruction:5yearresultsofarandomizedcontrolledtrial,2022,Am J Sports Med,Glasbrenner+comparableinstrumentedkneejointlaxityandpatientreportedoutcomesafteraclrepairwithdynamicintraligamentarystabilizationoraclreconstruction:5yearresultsofarandomizedcontrolledtrial+2022
10.1007/s00167-022-06980-x,"Beaudoin A, Ogborn D, McRae S, Larose G, Brown H, McCormack R, MacDonald P.",Beaudoin,No differences found in long-term outcomes of a randomized controlled trial comparing ipsilateral versus contralateral hamstring graft in ACL reconstruction,nodifferencesfoundinlongtermoutcomesofarandomizedcontrolledtrialcomparingipsilateralversuscontralateralhamstringgraftinaclreconstruction,2022,Knee Surg Sports Traumatol Arthrosc,Beaudoin+nodifferencesfoundinlongtermoutcomesofarandomizedcontrolledtrialcomparingipsilateralversuscontralateralhamstringgraftinaclreconstruction+2022
10.1186/s12891-021-04540-x,"Sole G, Lamb P, Pataky T, Klima S, Navarre P, Hammer N.",Sole,Immediate and 6-week effects of wearing a knee sleeve following anterior cruciate ligament reconstruction: a cross-over laboratory and randomised clinical trial,immediateand6weekeffectsofwearingakneesleevefollowinganteriorcruciateligamentreconstruction:acrossoverlaboratoryandrandomisedclinicaltrial,2021,BMC Musculoskelet Disord,Sole+immediateand6weekeffectsofwearingakneesleevefollowinganteriorcruciateligamentreconstruction:acrossoverlaboratoryandrandomisedclinicaltrial+2021
10.1007/s00402-021-03862-8,"Horstmann H, Petri M, Tegtbur U, Felmet G, Krettek C, Jagodzinski M.",Horstmann,"Quadriceps and hamstring tendon autografts in ACL reconstruction yield comparably good results in a prospective, randomized controlled trial",quadricepsandhamstringtendonautograftsinaclreconstructionyieldcomparablygoodresultsinaprospectiverandomizedcontrolledtrial,2022,Arch Orthop Trauma Surg,Horstmann+quadricepsandhamstringtendonautograftsinaclreconstructionyieldcomparablygoodresultsinaprospectiverandomizedcontrolledtrial+2022
10.1007/s00590-021-02912-6,"Kulshrestha V, Sood M, Kumar S, Kawale A.",Kulshrestha,Original study: early patient-reported functional outcome of all-inside ACL reconstruction as compared to anteromedial portal technique,originalstudy:earlypatientreportedfunctionaloutcomeofallinsideaclreconstructionascomparedtoanteromedialportaltechnique,2021,Eur J Orthop Surg Traumatol,Kulshrestha+originalstudy:earlypatientreportedfunctionaloutcomeofallinsideaclreconstructionascomparedtoanteromedialportaltechnique+2021
10.5606/ehc.2020.78201,"Erden T, Toker B, Toprak A, Taşer Ö.",Erden,Comparison of the outcomes of isolated anterior cruciate ligament reconstruction and combined anterolateral ligament suture tape augmentation and anterior cruciate ligament reconstruction,comparisonoftheoutcomesofisolatedanteriorcruciateligamentreconstructionandcombinedanterolateralligamentsuturetapeaugmentationandanteriorcruciateligamentreconstruction,2021,Jt Dis Relat Surg,Erden+comparisonoftheoutcomesofisolatedanteriorcruciateligamentreconstructionandcombinedanterolateralligamentsuturetapeaugmentationandanteriorcruciateligamentreconstruction+2021
10.1177/0363546520951507,"Zhang Y, Liu S, Chen Q, Hu Y, Sun Y, Chen J.",Zhang,Maturity Progression of the Entire Anterior Cruciate Ligament Graft of Insertion-Preserved Hamstring Tendons by 5 Years: A Prospective Randomized Controlled Study Based on Magnetic Resonance Imaging Evaluation,maturityprogressionoftheentireanteriorcruciateligamentgraftofinsertionpreservedhamstringtendonsby5years:aprospectiverandomizedcontrolledstudybasedonmagneticresonanceimagingevaluation,2020,Am J Sports Med,Zhang+maturityprogressionoftheentireanteriorcruciateligamentgraftofinsertionpreservedhamstringtendonsby5years:aprospectiverandomizedcontrolledstudybasedonmagneticresonanceimagingevaluation+2020
10.1016/j.arthro.2020.08.012,"Krishna L, Chan CX, Lokaiah L, Chinnasamy D, Goyal S, Wang M, Singh A.",Krishna,Five-Strand Versus Four-Strand Hamstring Autografts in Anterior Cruciate Ligament Reconstruction-A Prospective Randomized Controlled Study,fivestrandversusfourstrandhamstringautograftsinanteriorcruciateligamentreconstructionaprospectiverandomizedcontrolledstudy,2021,Arthroscopy,Krishna+fivestrandversusfourstrandhamstringautograftsinanteriorcruciateligamentreconstructionaprospectiverandomizedcontrolledstudy+2021
10.1007/s00167-020-06121-2,"Roger J, Bertani A, Vigouroux F, Mottier F, Gaillard R, Have L, Rongièras F.",Roger,ACL reconstruction using a quadruple semitendinosus graft with cortical fixations gives suitable isokinetic and clinical outcomes after 2 years,aclreconstructionusingaquadruplesemitendinosusgraftwithcorticalfixationsgivessuitableisokineticandclinicaloutcomesafter2years,2020,Knee Surg Sports Traumatol Arthrosc,Roger+aclreconstructionusingaquadruplesemitendinosusgraftwithcorticalfixationsgivessuitableisokineticandclinicaloutcomesafter2years+2020
10.1089/ten.tea.2020.0057,"Barnett S, Badger GJ, Kiapour A, Yen YM, Henderson R, Freiberger C, Proffen B, Sant N, Trainor B, Fleming BC, Micheli LJ, Murray MM, Kramer DE.",Barnett,Females Have Earlier Muscle Strength and Functional Recovery After Bridge-Enhanced Anterior Cruciate Ligament Repair,femaleshaveearliermusclestrengthandfunctionalrecoveryafterbridgeenhancedanteriorcruciateligamentrepair,2020,Tissue Eng Part A,Barnett+femaleshaveearliermusclestrengthandfunctionalrecoveryafterbridgeenhancedanteriorcruciateligamentrepair+2020
10.1177/0363546520911024,"Sundaraj K, Salmon LJ, Heath EL, Winalski CS, Colak C, Vasanji A, Roe JP, Pinczewski LA.",Sundaraj,"Bioabsorbable Versus Titanium Screws in Anterior Cruciate Ligament Reconstruction Using Hamstring Autograft: A Prospective, Randomized Controlled Trial With 13-Year Follow-up",bioabsorbableversustitaniumscrewsinanteriorcruciateligamentreconstructionusinghamstringautograft:aprospectiverandomizedcontrolledtrialwith13yearfollowup,2020,Am J Sports Med,Sundaraj+bioabsorbableversustitaniumscrewsinanteriorcruciateligamentreconstructionusinghamstringautograft:aprospectiverandomizedcontrolledtrialwith13yearfollowup+2020
10.1177/0363546520910148,"Porter M, Shadbolt B.",Porter,Modified Iliotibial Band Tenodesis Is Indicated to Correct Intraoperative Residual Pivot Shift After Anterior Cruciate Ligament Reconstruction Using an Autologous Hamstring Tendon Graft: A Prospective Randomized Controlled Trial,modifiediliotibialbandtenodesisisindicatedtocorrectintraoperativeresidualpivotshiftafteranteriorcruciateligamentreconstructionusinganautologoushamstringtendongraft:aprospectiverandomizedcontrolledtrial,2020,Am J Sports Med,Porter+modifiediliotibialbandtenodesisisindicatedtocorrectintraoperativeresidualpivotshiftafteranteriorcruciateligamentreconstructionusinganautologoushamstringtendongraft:aprospectiverandomizedcontrolledtrial+2020
10.1007/s40279-020-01276-x,"Sinding KS, Nielsen TG, Hvid LG, Lind M, Dalgas U.",Sinding,Effects of Autograft Types on Muscle Strength and Functional Capacity in Patients Having Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial,effectsofautografttypesonmusclestrengthandfunctionalcapacityinpatientshavinganteriorcruciateligamentreconstruction:arandomizedcontrolledtrial,2020,Sports Med,Sinding+effectsofautografttypesonmusclestrengthandfunctionalcapacityinpatientshavinganteriorcruciateligamentreconstruction:arandomizedcontrolledtrial+2020
10.24875/CIRU.19001001,"Vilchez-Cavazos F, Dávila-Martínez A, Garza-Castro S, Simental-Mendía M, Garay-Mendoza D, Tamez-Mata Y, Peña-Martínez V, Acosta-Olivo C.",Vilchez-Cavazos,Anterior cruciate ligament injuries treated with quadriceps tendon autograft versus hamstring autograft: A randomized controlled trial,anteriorcruciateligamentinjuriestreatedwithquadricepstendonautograftversushamstringautograft:arandomizedcontrolledtrial,2020,Cir Cir,Vilchez-Cavazos+anteriorcruciateligamentinjuriestreatedwithquadricepstendonautograftversushamstringautograft:arandomizedcontrolledtrial+2020
10.1136/bjsports-2019-101000,"Lind M, Nielsen TG, Soerensen OG, Mygind-Klavsen B, Faunø P.",Lind,Quadriceps tendon grafts does not cause patients to have inferior subjective outcome after anterior cruciate ligament (ACL) reconstruction than do hamstring grafts: a 2-year prospective randomised controlled trial,quadricepstendongraftsdoesnotcausepatientstohaveinferiorsubjectiveoutcomeafteranteriorcruciateligament(acl)reconstructionthandohamstringgrafts:a2yearprospectiverandomisedcontrolledtrial,2020,Br J Sports Med,Lind+quadricepstendongraftsdoesnotcausepatientstohaveinferiorsubjectiveoutcomeafteranteriorcruciateligament(acl)reconstructionthandohamstringgrafts:a2yearprospectiverandomisedcontrolledtrial+2020
10.7507/1002-1892.201902059,"Liu H, Lu W, Liang D, Geng H, Zhu W, Ouyang K, Li H, Peng L, Feng W, Zhong M, Chen K, Li Y, Deng Z, Wang D.",Liu,[Effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament reconstruction],effectofisokinetictrainingofthighmusclegroupongraftremodelingafteranteriorcruciateligamentreconstruction,2019,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,Liu+effectofisokinetictrainingofthighmusclegroupongraftremodelingafteranteriorcruciateligamentreconstruction+2019
10.1177/0363546519861530,"Shumborski S, Heath E, Salmon LJ, Roe JP, Linklater JP, Facek M, Pinczewski LA.",Shumborski,A Randomized Controlled Trial of PEEK Versus Titanium Interference Screws for Anterior Cruciate Ligament Reconstruction With 2-Year Follow-up,arandomizedcontrolledtrialofpeekversustitaniuminterferencescrewsforanteriorcruciateligamentreconstructionwith2yearfollowup,2019,Am J Sports Med,Shumborski+arandomizedcontrolledtrialofpeekversustitaniuminterferencescrewsforanteriorcruciateligamentreconstructionwith2yearfollowup+2019
10.1007/s00167-019-05456-9,"Kouloumentas P, Kavroudakis E, Charalampidis E, Kavroudakis D, Triantafyllopoulos GK.",Kouloumentas,Superior knee flexor strength at 2 years with all-inside short-graft anterior cruciate ligament reconstruction vs a conventional hamstring technique,superiorkneeflexorstrengthat2yearswithallinsideshortgraftanteriorcruciateligamentreconstructionvsaconventionalhamstringtechnique,2019,Knee Surg Sports Traumatol Arthrosc,Kouloumentas+superiorkneeflexorstrengthat2yearswithallinsideshortgraftanteriorcruciateligamentreconstructionvsaconventionalhamstringtechnique+2019
10.1097/MD.0000000000014851,"Xiang X, Qu Z, Sun H, Ma X, Wang W, Huang L.",Xiang,"Single-tunnel anatomic double-bundle anterior cruciate ligament reconstruction has the same effectiveness as double femoral, double tibial tunnel: A prospective randomized study",singletunnelanatomicdoublebundleanteriorcruciateligamentreconstructionhasthesameeffectivenessasdoublefemoraldoubletibialtunnel:aprospectiverandomizedstudy,2019,Medicine (Baltimore),Xiang+singletunnelanatomicdoublebundleanteriorcruciateligamentreconstructionhasthesameeffectivenessasdoublefemoraldoubletibialtunnel:aprospectiverandomizedstudy+2019
10.1177/0363546519825878,"Hoogeslag RAG, Brouwer RW, Boer BC, de Vries AJ, Huis In 't Veld R.",Hoogeslag,Acute Anterior Cruciate Ligament Rupture: Repair or Reconstruction? Two-Year Results of a Randomized Controlled Clinical Trial,acuteanteriorcruciateligamentrupture:repairorreconstruction?twoyearresultsofarandomizedcontrolledclinicaltrial,2019,Am J Sports Med,Hoogeslag+acuteanteriorcruciateligamentrupture:repairorreconstruction?twoyearresultsofarandomizedcontrolledclinicaltrial+2019
10.1007/s00167-018-5040-1,"Harput G, Ulusoy B, Yildiz TI, Demirci S, Eraslan L, Turhan E, Tunay VB.",Harput,Cross-education improves quadriceps strength recovery after ACL reconstruction: a randomized controlled trial,crosseducationimprovesquadricepsstrengthrecoveryafteraclreconstruction:arandomizedcontrolledtrial,2019,Knee Surg Sports Traumatol Arthrosc,Harput+crosseducationimprovesquadricepsstrengthrecoveryafteraclreconstruction:arandomizedcontrolledtrial+2019
10.1016/j.knee.2018.03.011,"Martin-Alguacil JL, Arroyo-Morales M, Martín-Gomez JL, Monje-Cabrera IM, Abellán-Guillén JF, Esparza-Ros F, Lozano ML, Cantarero-Villanueva I.",Martin-Alguacil,Strength recovery after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players: A randomized controlled trial,strengthrecoveryafteranteriorcruciateligamentreconstructionwithquadricepstendonversushamstringtendonautograftsinsoccerplayers:arandomizedcontrolledtrial,2018,Knee,Martin-Alguacil+strengthrecoveryafteranteriorcruciateligamentreconstructionwithquadricepstendonversushamstringtendonautograftsinsoccerplayers:arandomizedcontrolledtrial+2018
10.1016/j.arthro.2018.03.011,"Zhang C, Pan J, Chen JD, Zhang YJ, Gu PC, Lin XJ, Cai YZ.",Zhang,The Effect of Cartilage Fragments on Femoral Tunnel Widening After Anterior Cruciate Ligament Reconstruction: A Prospective Randomized Controlled Study,theeffectofcartilagefragmentsonfemoraltunnelwideningafteranteriorcruciateligamentreconstruction:aprospectiverandomizedcontrolledstudy,2018,Arthroscopy,Zhang+theeffectofcartilagefragmentsonfemoraltunnelwideningafteranteriorcruciateligamentreconstruction:aprospectiverandomizedcontrolledstudy+2018
10.1186/s12891-018-2028-4,"Boer BC, Hoogeslag RAG, Brouwer RW, Demmer A, Huis In 't Veld RMHA.",Boer,Self-reported functional recovery after reconstruction versus repair in acute anterior cruciate ligament rupture (ROTOR): a randomized controlled clinical trial,selfreportedfunctionalrecoveryafterreconstructionversusrepairinacuteanteriorcruciateligamentrupture(rotor):arandomizedcontrolledclinicaltrial,2018,BMC Musculoskelet Disord,Boer+selfreportedfunctionalrecoveryafterreconstructionversusrepairinacuteanteriorcruciateligamentrupture(rotor):arandomizedcontrolledclinicaltrial+2018
10.1177/0363546517752918,"Liu S, Li H, Tao H, Sun Y, Chen S, Chen J.",Liu,A Randomized Clinical Trial to Evaluate Attached Hamstring Anterior Cruciate Ligament Graft Maturity With Magnetic Resonance Imaging,arandomizedclinicaltrialtoevaluateattachedhamstringanteriorcruciateligamentgraftmaturitywithmagneticresonanceimaging,2018,Am J Sports Med,Liu+arandomizedclinicaltrialtoevaluateattachedhamstringanteriorcruciateligamentgraftmaturitywithmagneticresonanceimaging+2018
10.1055/s-0038-1627466,"Bi M, Zhao C, Zhang S, Yao B, Hong Z, Bi Q.",Bi,All-Inside Single-Bundle Reconstruction of the Anterior Cruciate Ligament with the Anterior Half of the Peroneus Longus Tendon Compared to the Semitendinosus Tendon: A Two-Year Follow-Up Study,allinsidesinglebundlereconstructionoftheanteriorcruciateligamentwiththeanteriorhalfoftheperoneuslongustendoncomparedtothesemitendinosustendon:atwoyearfollowupstudy,2018,J Knee Surg,Bi+allinsidesinglebundlereconstructionoftheanteriorcruciateligamentwiththeanteriorhalfoftheperoneuslongustendoncomparedtothesemitendinosustendon:atwoyearfollowupstudy+2018
10.1016/j.arthro.2017.06.040,"Gupta R, Bahadur R, Malhotra A, Masih GD, Sood M, Gupta P, Mathur VK.",Gupta,Outcome of Hamstring Autograft With Preserved Insertions Compared With Free Hamstring Autograft in Anterior Cruciate Ligament Surgery at 2-Year Follow-up,outcomeofhamstringautograftwithpreservedinsertionscomparedwithfreehamstringautograftinanteriorcruciateligamentsurgeryat2yearfollowup,2017,Arthroscopy,Gupta+outcomeofhamstringautograftwithpreservedinsertionscomparedwithfreehamstringautograftinanteriorcruciateligamentsurgeryat2yearfollowup+2017
10.1007/s00402-017-2774-z,"Beyaz S, Güler ÜÖ, Demir Ş, Yüksel S, Çınar BM, Özkoç G, Akpınar S.",Beyaz,Tunnel widening after single- versus double-bundle anterior cruciate ligament reconstruction: a randomized 8-year follow-up study,tunnelwideningaftersingleversusdoublebundleanteriorcruciateligamentreconstruction:arandomized8yearfollowupstudy,2017,Arch Orthop Trauma Surg,Beyaz+tunnelwideningaftersingleversusdoublebundleanteriorcruciateligamentreconstruction:arandomized8yearfollowupstudy+2017
10.1007/s00167-017-4664-x,"MacDonald P, Kim C, McRae S, Leiter J, Khan R, Whelan D.",MacDonald,"No clinical differences between anteromedial portal and transtibial technique for femoral tunnel positioning in anterior cruciate ligament reconstruction: a prospective randomized, controlled trial",noclinicaldifferencesbetweenanteromedialportalandtranstibialtechniqueforfemoraltunnelpositioninginanteriorcruciateligamentreconstruction:aprospectiverandomizedcontrolledtrial,2018,Knee Surg Sports Traumatol Arthrosc,MacDonald+noclinicaldifferencesbetweenanteromedialportalandtranstibialtechniqueforfemoraltunnelpositioninginanteriorcruciateligamentreconstruction:aprospectiverandomizedcontrolledtrial+2018
10.1007/s00167-017-4618-3,"Schliemann B, Glasbrenner J, Rosenbaum D, Lammers K, Herbort M, Domnick C, Raschke MJ, Kösters C.",Schliemann,Changes in gait pattern and early functional results after ACL repair are comparable to those of ACL reconstruction,changesingaitpatternandearlyfunctionalresultsafteraclrepairarecomparabletothoseofaclreconstruction,2018,Knee Surg Sports Traumatol Arthrosc,Schliemann+changesingaitpatternandearlyfunctionalresultsafteraclrepairarecomparabletothoseofaclreconstruction+2018
10.3760/cma.j.issn.0529-5815.2017.03.001,"Liu X, Feng H, Hong L, Zhang H.",Liu,[A prospective randomized control trial of arthroscopic surgery for stable ramp lesion of the medial meniscus],aprospectiverandomizedcontroltrialofarthroscopicsurgeryforstableramplesionofthemedialmeniscus,2017,Zhonghua Wai Ke Za Zhi,Liu+aprospectiverandomizedcontroltrialofarthroscopicsurgeryforstableramplesionofthemedialmeniscus+2017
10.1016/j.knee.2016.08.011,"Rose MB, Domes C, Farooqi M, Crawford DC.",Rose,A prospective randomized comparison of two distinct allogenic tissue constructs for anterior cruciate ligament reconstruction,aprospectiverandomizedcomparisonoftwodistinctallogenictissueconstructsforanteriorcruciateligamentreconstruction,2016,Knee,Rose+aprospectiverandomizedcomparisonoftwodistinctallogenictissueconstructsforanteriorcruciateligamentreconstruction+2016
10.1016/j.aott.2016.03.005,"Balki S, Göktaş HE, Öztemur Z.",Balki,"Kinesio taping as a treatment method in the acute phase of ACL reconstruction: A double-blind, placebo-controlled study",kinesiotapingasatreatmentmethodintheacutephaseofaclreconstruction:adoubleblindplacebocontrolledstudy,2016,Acta Orthop Traumatol Turc,Balki+kinesiotapingasatreatmentmethodintheacutephaseofaclreconstruction:adoubleblindplacebocontrolledstudy+2016
10.1007/s00590-016-1812-9,"Ruffilli A, Pagliazzi G, Ferranti E, Busacca M, Capannelli D, Buda R.",Ruffilli,Hamstring graft tibial insertion preservation versus detachment in anterior cruciate ligament reconstruction: a prospective randomized comparative study,hamstringgrafttibialinsertionpreservationversusdetachmentinanteriorcruciateligamentreconstruction:aprospectiverandomizedcomparativestudy,2016,Eur J Orthop Surg Traumatol,Ruffilli+hamstringgrafttibialinsertionpreservationversusdetachmentinanteriorcruciateligamentreconstruction:aprospectiverandomizedcomparativestudy+2016
10.1177/0363546516650876,"Liu Y, Cui G, Yan H, Yang Y, Ao Y.",Liu,"Comparison Between Single- and Double-Bundle Anterior Cruciate Ligament Reconstruction With 6- to 8-Stranded Hamstring Autograft: A Prospective, Randomized Clinical Trial",comparisonbetweensingleanddoublebundleanteriorcruciateligamentreconstructionwith6to8strandedhamstringautograft:aprospectiverandomizedclinicaltrial,2016,Am J Sports Med,Liu+comparisonbetweensingleanddoublebundleanteriorcruciateligamentreconstructionwith6to8strandedhamstringautograft:aprospectiverandomizedclinicaltrial+2016
10.1007/s00167-016-4135-9,"Carulli C, Matassi F, Soderi S, Sirleo L, Munz G, Innocenti M.",Carulli,Resorbable screw and sheath versus resorbable interference screw and staples for ACL reconstruction: a comparison of two tibial fixation methods,resorbablescrewandsheathversusresorbableinterferencescrewandstaplesforaclreconstruction:acomparisonoftwotibialfixationmethods,2017,Knee Surg Sports Traumatol Arthrosc,Carulli+resorbablescrewandsheathversusresorbableinterferencescrewandstaplesforaclreconstruction:acomparisonoftwotibialfixationmethods+2017
