id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,title_abstract_screening,full-text_screening,reason_for_exclusion
,Ibrahim S.A. (2015),Embase,"Ibrahim S.A., Abdul Ghafar S., Marwan Y., Mahgoub A.M., Al Misfer A., Farouk H., Wagdy M., Alherran H., Khirait S.",Ibrahim S.A.,Intratunnel versus extratunnel autologous hamstring double-bundle graft for anterior cruciate ligament reconstruction: a comparison of 2 femoral fixation procedures,Intratunnel versus extratunnel auto,2015,10.1177/0363546514554189,The American journal of sports medicine,,,
,Gifstad T. (2014),Embase,"Gifstad T., Drogset J.O., GrÃ¸ntvedt T., Hortemo G.S.",Gifstad T.,Femoral fixation of hamstring tendon grafts in ACL reconstructions: the 2-year follow-up results of a prospective randomized controlled study,Femoral fixation of hamstring tendo,2014,10.1007/s00167-013-2652-3,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,,
,Wang C.-J. (2014),Embase,"Wang C.-J., Ko J.-Y., Chou W.-Y., Hsu S.-L., Ko S.-F., Huang C.-C., Chang H.-W.",Wang C.-J.,Shockwave therapy improves anterior cruciate ligament reconstruction,Shockwave therapy improves anterior,2014,10.1016/j.jss.2014.01.050,Journal of Surgical Research,,,
,Zhang Q. (2014),Embase,"Zhang Q., Zhang S., Cao X., Liu L., Liu Y., Li R.",Zhang Q.,The effect of remnant preservation on tibial tunnel enlargement in ACL reconstruction with hamstring autograft: A prospective randomized controlled trial,The effect of remnant preservation ,2014,10.1007/s00167-012-2341-7,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Matsumoto T. (2014),Embase,"Matsumoto T., Kuroda R., Matsushita T., Araki D., Hoshino Y., Nagamune K., Kurosaka M.",Matsumoto T.,Reduction of tunnel enlargement with use of autologous ruptured tissue in anterior cruciate ligament reconstruction: A pilot clinical trial,Reduction of tunnel enlargement wit,2014,10.1016/j.arthro.2013.12.014,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,KÄ±nÄ±klÄ± G.I. (2014),Embase,"KÄ±nÄ±klÄ± G.I., YÃ¼ksel I., BaltacÄ± G., Atay O.A.",KÄ±nÄ±klÄ± G.I.,The effect of progressive eccentric and concentric training on functional performance after autogenous hamstring anterior cruciate ligament reconstruction: a randomized controlled study,The effect of progressive eccentric,2014,10.3944/AOTT.2014.13.0111,Acta orthopaedica et traumatologica turcica,,,
,Christensen J.C. (2013),Embase,"Christensen J.C., Goldfine L.R., West H.S.",Christensen J.C.,The effects of early aggressive rehabilitation on outcomes after anterior cruciate ligament reconstruction using autologous hamstring tendon: A randomized clinical trial,The effects of early aggressive reh,2013,10.1123/jsr.22.3.191,Journal of Sport Rehabilitation,,,
,Gifstad T. (2013),Embase,"Gifstad T., Sole A., Strand T., Uppheim G., GrÃ¸ntvedt T., Drogset J.O.",Gifstad T.,Long-term follow-up of patellar tendon grafts or hamstring tendon grafts in endoscopic ACL reconstructions,Long-term follow-up of patellar ten,2013,10.1007/s00167-012-1947-0,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Fukuda T.Y. (2013),Embase,"Fukuda T.Y., Fingerhut D., Moreira V.C., Camarini P.M., Scodeller N.F., Duarte A., Martinelli M., Bryk F.F.",Fukuda T.Y.,Open kinetic chain exercises in a restricted range of motion after anterior cruciate ligament reconstruction: a randomized controlled clinical trial,Open kinetic chain exercises in a r,2013,10.1177/0363546513476482,The American journal of sports medicine,,,
,Fu C.L. (2013),Embase,"Fu C.L., Yung S.H., Law K.Y., Leung K.H., Lui P.Y., Siu H.K., Chan K.M.",Fu C.L.,The effect of early whole-body vibration therapy on neuromuscular control after anterior cruciate ligament reconstruction: a randomized controlled trial,The effect of early whole-body vibr,2013,10.1177/0363546513476473,The American journal of sports medicine,,,
,Hwang D.-H. (2013),Embase,"Hwang D.-H., Shetty G.M., Kim J.I., Kwon J.H., Song J.-K., MuÃ±oz M., Lee J.S., Nha K.-W.",Hwang D.-H.,Does press-fit technique reduce tunnel volume enlargement after anterior cruciate ligament reconstruction with autologous hamstring tendons? A prospective randomized computed tomography study,Does press-fit technique reduce tun,2013,10.1016/j.arthro.2012.07.007,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Bourke H.E. (2013),Embase,"Bourke H.E., Salmon L.J., Waller A., Winalski C.S., Williams H.A., Linklater J.M., Vasanji A., Roe J.P., Pinczewski L.A.",Bourke H.E.,Randomized controlled trial of osteoconductive fixation screws for anterior cruciate ligament reconstruction: A comparison of the calaxo and milagro screws,Randomized controlled trial of oste,2013,10.1016/j.arthro.2012.10.021,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Mirzatolooei F. (2013),Embase,"Mirzatolooei F., Alamdari M.T., Khalkhali H.R.",Mirzatolooei F.,The impact of platelet-rich plasma on the prevention of tunnel widening in anterior cruciate ligament reconstruction using quadrupled autologous hamstring tendon: A randomised clinical trial,The impact of platelet-rich plasma ,2013,10.1302/0301-620X.95B1.30487,Journal of Bone and Joint Surgery - Series B,,,
,Lui P.P.Y. (2012),Embase,"Lui P.P.Y., Cheng Y.Y., Yung S.H., Hung A.S.L., Chan K.M.",Lui P.P.Y.,A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,A randomized controlled trial compa,2012,10.1016/j.knee.2012.02.005,Knee,,,
,Lee S. (2012),Embase,"Lee S., Kim H., Jang J., Seong S.C., Lee M.C.",Lee S.,Comparison of anterior and rotatory laxity using navigation between single-and double-bundle ACL reconstruction: Prospective randomized trial,Comparison of anterior and rotatory,2012,10.1007/s00167-012-1880-2,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Zaffagnini S. (2011),Embase,"Zaffagnini S., Bruni D., Marcheggiani Muccioli G.M., Bonanzinga T., Lopomo N., Bignozzi S., Marcacci M.",Zaffagnini S.,Single-bundle patellar tendon versus non-anatomical double-bundle hamstrings ACL reconstruction: A prospective randomized study at 8-year minimum follow-up,Single-bundle patellar tendon versu,2011,10.1007/s00167-010-1225-y,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Wipfler B. (2011),Embase,"Wipfler B., Donner S., Zechmann C.M., Springer J., Siebold R., Paessler H.H.",Wipfler B.,Anterior cruciate ligament reconstruction using patellar tendon versus hamstring tendon: A prospective comparative study with 9-year follow-up,Anterior cruciate ligament reconstr,2011,10.1016/j.arthro.2011.01.015,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Sabat D. (2011),Embase,"Sabat D., Kundu K., Arora S., Kumar V.",Sabat D.,Tunnel widening after anterior cruciate ligament reconstruction: A prospective randomized computed tomography-based study comparing 2 different femoral fixation methods for hamstring graft,Tunnel widening after anterior cruc,2011,10.1016/j.arthro.2011.02.009,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Drogset J.O. (2010),Embase,"Drogset J.O., Strand T., Uppheim G., Ã˜degÃ¥rd B., BÃ¸e A., GrÃ¸ntvedt T.",Drogset J.O.,Autologous patellar tendon and quadrupled hamstring grafts in anterior cruciate ligament reconstruction: A prospective randomized multicenter review of different fixation methods,Autologous patellar tendon and quad,2010,10.1007/s00167-009-0996-5,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Vogrin M. (2010),Embase,"Vogrin M., Rupreht M., Crnjac A., Dinevski D., Krajnc Z., ReÄnik G.",Vogrin M.,The effect of platelet-derived growth factors on knee stability after anterior cruciate ligament reconstruction: A prospective randomized clinical study,The effect of platelet-derived grow,2010,10.1007/s00508-010-1340-2,Wiener Klinische Wochenschrift,,,
,Raviraj A. (2010),Embase,"Raviraj A., Anand A., Kodikal G., Chandrashekar M., Pai S.",Raviraj A.,A comparison of early and delayed arthroscopically-assisted reconstruction of the anterior cruciate ligament using hamstring autograft,A comparison of early and delayed a,2010,10.1302/0301-620X.92B4.22973,Journal of Bone and Joint Surgery - Series B,,,
,Price R. (2010),Embase,"Price R., Stoney J., Brown G.",Price R.,Prospective randomized comparison of endobutton versus cross-pin femoral fixation in hamstring anterior cruciate ligament reconstruction with 2-year follow-up,Prospective randomized comparison o,2010,10.1111/j.1445-2197.2009.05128.x,ANZ Journal of Surgery,,,
,Price R. (2010),Embase,"Price R., Stoney J., Brown G.",Price R.,Prospective randomized comparison of endobutton versus cross-pin femoral fixation in hamstring anterior cruciate ligament reconstruction with 2-year follow-up,Prospective randomized comparison o,2010,10.1111/j.1445-2197.2009.05128.x,ANZ journal of surgery,,,
,Tagesson S. (2010),Embase,"Tagesson S., Ã–berg B., Kvist J.",Tagesson S.,Tibial translation and muscle activation during rehabilitation exercises 5 weeks after anterior cruciate ligament reconstruction,Tibial translation and muscle activ,2010,10.1111/j.1600-0838.2009.00903.x,Scandinavian Journal of Medicine and Science in Sports,,,
,Stengel D. (2009),Embase,"Stengel D., Casper D., Bauwens K., Ekkernkamp A., Wich M.",Stengel D.,Bioresorbable pins and interference screws for fixation of hamstring tendon grafts in anterior cruciate ligament reconstruction surgery a randomized controlled trial,Bioresorbable pins and interference,2009,10.1177/0363546509333008,American Journal of Sports Medicine,,,
,Taylor D.C. (2009),Embase,"Taylor D.C., Deberardino T.M., Nelson B.J., Duffey M., Tenuta J., Stoneman P.D., Sturdivant R.X., Mountcastle S.",Taylor D.C.,Patellar tendon versus hamstring tendon autografts for anterior cruciate ligament reconstruction: A randomized controlled trial using similar femoral and tibial fixation Methods,Patellar tendon versus hamstring te,2009,10.1177/0363546509339577,American Journal of Sports Medicine,,,
,AhldÃ©n M. (2009),Embase,"AhldÃ©n M., Kartus J., Ejerhed L., Karlsson J., Sernert N.",AhldÃ©n M.,"Knee laxity measurements after anterior cruciate ligament reconstruction, using either bone-patellar-tendon-bone or hamstring tendon autografts, with special emphasis on comparison over time",Knee laxity measurements after ante,2009,10.1007/s00167-009-0846-5,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Sastre S. (2009),Embase,"Sastre S., Popescu D., NÃºÃ±ez M., Pomes J., Tomas X., Peidro L.",Sastre S.,"Double-bundle versus single-bundle ACL reconstruction using the horizontal femoral position: A prospective, randomized study",Double-bundle versus single-bundle ,2009,10.1007/s00167-009-0844-7,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Moisala A.-S. (2008),Embase,"Moisala A.-S., JÃ¤rvelÃ¤ T., Paakkala A., Paakkala T., Kannus P., JÃ¤rvinen M.",Moisala A.-S.,Comparison of the bioabsorbable and metal screw fixation after ACL reconstruction with a hamstring autograft in MRI and clinical outcome: A prospective randomized study,Comparison of the bioabsorbable and,2008,10.1007/s00167-008-0593-z,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Laboute E. (2008),Embase,"Laboute E., Savalli L., Lefesvre T., Puig P., Trouve P.",Laboute E.,Interest of an iterative specialized rehabilitation after an anterior cruciate ligament reconstruction in high level sport athletes,Interest of an iterative specialize,2008,10.1016/j.rco.2008.01.008,Revue de Chirurgie Orthopedique et Reparatrice de l'Appareil Moteur,,,
,Kondo E. (2008),Embase,"Kondo E., Yasuda K., Azuma H., Tanabe Y., Yagi T.",Kondo E.,Prospective clinical comparisons of anatomic double-bundle versus single-bundle anterior cruciate ligament reconstruction procedures in 328 consecutive patients,Prospective clinical comparisons of,2008,10.1177/0363546508317123,American Journal of Sports Medicine,,,
,Capuano L. (2008),Embase,"Capuano L., Hardy P., Longo U.G., Denaro V., Maffulli N.",Capuano L.,No difference in clinical results between femoral transfixation and bio-interference screw fixation in hamstring tendon ACL reconstruction. A preliminary study,No difference in clinical results b,2008,10.1016/j.knee.2008.02.003,Knee,,,
,Benazzo F. (2008),Embase,"Benazzo F., Zanon G., Pederzini L., Modonesi F., Cardile C., Falez F., Ciolli L., Cava F.L., Giannini S., Buda R., Setti S., Caruso G., Massari L.",Benazzo F.,"Effects of biophysical stimulation in patients undergoing arthroscopic reconstruction of anterior cruciate ligament: Prospective, randomized and double blind study",Effects of biophysical stimulation ,2008,10.1007/s00167-008-0519-9,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Birmingham T.B. (2008),Embase,"Birmingham T.B., Bryant D.M., Giffin J.R., Litchfield R.B., Kramer J.F., Donner A., Fowler P.J.",Birmingham T.B.,A randomized controlled trial comparing the effectiveness of functional knee brace and neoprene sleeve use after anterior cruciate ligament reconstruction,A randomized controlled trial compa,2008,10.1177/0363546507311601,American Journal of Sports Medicine,,,
,Bottoni C.R. (2008),Embase,"Bottoni C.R., Liddell T.R., Trainor T.J., Freccero D.M., Lindell K.K.",Bottoni C.R.,"Postoperative range of motion following anterior cruciate ligament reconstruction using autograft hamstrings: A prospective, randomized clinical trial of early versus delayed reconstructions",Postoperative range of motion follo,2008,10.1177/0363546507312164,American Journal of Sports Medicine,,,
,Papachristou G. (2008),Embase,"Papachristou G., Sourlas J., Plessas S., Papachristou K.",Papachristou G.,Arthroscopic ACL reconstruction with Î” plasty: An innovative approach with hamstrings' transfer and double tibial tunnel,Arthroscopic ACL reconstruction wit,2008,10.1007/s00167-007-0426-5,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Streich N.A. (2008),Embase,"Streich N.A., Friedrich K., Gotterbarm T., Schmitt H.",Streich N.A.,Reconstruction of the ACL with a semitendinosus tendon graft: A prospective randomized single blinded comparison of double-bundle versus single-bundle technique in male athletes,Reconstruction of the ACL with a se,2008,10.1007/s00167-007-0480-z,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Tagesson S. (2008),Embase,"Tagesson S., Ã–berg B., Good L., Kvist J.",Tagesson S.,A comprehensive rehabilitation program with quadriceps strengthening in closed versus open kinetic chain exercise in patients with anterior cruciate ligament deficiency: A randomized clinical trial evaluating dynamic tibial translation and muscle function,A comprehensive rehabilitation prog,2008,10.1177/0363546507307867,American Journal of Sports Medicine,,,
,JÃ¤rvelÃ¤ T. (2008),Embase,"JÃ¤rvelÃ¤ T., Moisala A.-S., Sihvonen R., JÃ¤rvelÃ¤ S., Kannus P., JÃ¤rvinen M.",JÃ¤rvelÃ¤ T.,"Double-bundle anterior cruciate ligament reconstruction using hamstring autografts and bioabsorbable interference screw fixation: Prospective, randomized, clinical study with 2-year results",Double-bundle anterior cruciate lig,2008,10.1177/0363546507308360,American Journal of Sports Medicine,,,
,Gohil S. (2007),Embase,"Gohil S., Annear P.O., Breidahl W.",Gohil S.,Anterior cruciate ligament reconstruction using autologous double hamstrings: A comparison of standard versus minimal debridement techniques using MRI to assess revascularisation - A randomised prospective study with a one-year follow-up,Anterior cruciate ligament reconstr,2007,10.1302/0301-620X.89B9.19339,Journal of Bone and Joint Surgery - Series B,,,
,#VALUE!,Embase,JÃ¤rvelÃ¤ T.,#VALUE!,"Double-bundle versus single-bundle anterior cruciate ligament reconstruction: A prospective, randomize clinical study",Double-bundle versus single-bundle ,2007,10.1007/s00167-006-0254-z,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,LidÃ©n M. (2007),Embase,"LidÃ©n M., Ejerhed L., Sernert N., Laxdal G., Kartus J.",LidÃ©n M.,"Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction: A prospective, randomized study with a 7-year follow-up",Patellar tendon or semitendinosus t,2007,10.1177/0363546506298275,American Journal of Sports Medicine,,,
,Heijne A. (2007),Embase,"Heijne A., Werner S.",Heijne A.,Early versus late start of open kinetic chain quadriceps exercises after ACL reconstruction with patellar tendon or hamstring grafts: A prospective randomized outcome study,Early versus late start of open kin,2007,10.1007/s00167-006-0246-z,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Maletis G.B. (2007),Embase,"Maletis G.B., Cameron S.L., Tengan J.J., Burchette R.J.",Maletis G.B.,A prospective randomized study of anterior cruciate ligament reconstruction: A comparison of patellar tendon and quadruple-strand semitendinosus/gracilis tendons fixed with bioabsorbable interference screws,A prospective randomized study of a,2007,10.1177/0363546506294361,American Journal of Sports Medicine,,,
,Sajovic M. (2006),Embase,"Sajovic M., Vengust V., Komadina R., Tavcar R., Skaza K.",Sajovic M.,"A prospective, randomized comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: Five-year follow-up","A prospective, randomized compariso",2006,10.1177/0363546506290726,American Journal of Sports Medicine,,,
,Laxdal G. (2006),Embase,"Laxdal G., Kartus J., Eriksson B.I., FaxÃ©n E., Sernert N., Karlsson J.",Laxdal G.,Biodegradable and metallic interference screws in anterior cruciate ligament reconstruction surgery using hamstring tendon grafts: Prospective randomized study of radiographic results and clinical outcome,Biodegradable and metallic interfer,2006,10.1177/0363546506288014,American Journal of Sports Medicine,,,
,Gobbi A. (2006),Embase,"Gobbi A., Francisco R.",Gobbi A.,Factors affecting return to sports after anterior cruciate ligament reconstruction with patellar tendon and hamstring graft: A prospective clinical investigation,Factors affecting return to sports ,2006,10.1007/s00167-006-0050-9,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Rose T. (2006),Embase,"Rose T., Hepp P., Venus J., Stockmar C., Josten C., Lill H.",Rose T.,Prospective randomized clinical comparison of femoral transfixation versus bioscrew fixation in hamstring tendon ACL reconstruction - A preliminary report,Prospective randomized clinical com,2006,10.1007/s00167-006-0034-9,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Yasuda K. (2006),Embase,"Yasuda K., Kondo E., Ichiyama H., Tanabe Y., Tohyama H.",Yasuda K.,Clinical evaluation of anatomic double-bundle anterior cruciate ligament reconstruction procedure using hamstring tendon grafts: Comparisons among 3 different procedures,Clinical evaluation of anatomic dou,2006,10.1016/j.arthro.2005.12.017,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Matsumoto A. (2006),Embase,"Matsumoto A., Yoshiya S., Muratsu H., Yagi M., Iwasaki Y., Kurosaka M., Kuroda R.",Matsumoto A.,A comparison of bone-patellar tendon-bone and bone-hamstring tendon-bone autografts for anterior cruciate ligament reconstruction,A comparison of bone-patellar tendo,2006,10.1177/0363546505279919,American Journal of Sports Medicine,,,
,Fauno P. (2005),Embase,"Fauno P., Kaalund S.",Fauno P.,Tunnel widening after hamstring anterior cruciate ligament reconstruction is influenced by the type of graft fixation used: A prospective randomized study,Tunnel widening after hamstring ant,2005,10.1016/j.arthro.2005.08.023,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,PfÃ¶rringer W. (2005),Embase,"PfÃ¶rringer W., Kremer C.",PfÃ¶rringer W.,"Subsequent treatment of surgically managed, fresh, anterior cruciate ligament ruptures - A randomized, prospective study",Subsequent treatment of surgically ,2005,10.1055/s-2005-858472,Sportverletzung-Sportschaden,,,
,Ibrahim S.A.-R. (2005),Embase,"Ibrahim S.A.-R., Al-Kussary I.M., Al-Misfer A.R.K., Al-Mutairi H.Q., Ghafar S.A., El Noor T.A.",Ibrahim S.A.-R.,Clinical evaluation of arthroscopically assisted anterior cruciate ligament reconstruction: Patellar tendon versus gracilis and semitendinosus autograft,Clinical evaluation of arthroscopic,2005,10.1016/j.arthro.2004.12.002,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Gobbi A. (2005),Embase,"Gobbi A., Domzalski M., Pascual J., Zanazzo M.",Gobbi A.,Hamstring anterior cruciate ligament reconstruction: Is it necessary to sacrifice the gracilis?,Hamstring anterior cruciate ligamen,2005,10.1016/j.arthro.2004.10.016,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Stengel D. (2005),Embase,"Stengel D., Matthes G., Seifert J., Tober V., Mutze S., Rademacher G., Ekkernkamp A., Bauwens K., Wich M., Casper D.",Stengel D.,"Resorbable screws versus pins for optimal transplant fixation (SPOT) in anterior cruciate ligament replacement with autologous hamstring grafts: Rationale and design of a randomized, controlled, patient and investigator blinded trial [ISRCTN17384369]",Resorbable screws versus pins for o,2005,10.1186/1471-2482-5-1,BMC Surgery,,,
,Hill P.F. (2005),Embase,"Hill P.F., Russell V.J., Salmon L.J., Pinczewski L.A.",Hill P.F.,The influence of supplementary tibial fixation on laxity measurements after anterior cruciate ligament reconstruction with hamstring tendons in female patients,The influence of supplementary tibi,2005,10.1177/0363546504268036,American Journal of Sports Medicine,,,
,Harilainen A. (2005),Embase,"Harilainen A., Sandelin J., Jansson K.A.",Harilainen A.,Cross-pin femoral fixation versus metal interference screw fixation in anterior cruciate ligament reconstruction with hamstring tendons: Results of a controlled prospective randomized study with 2-year follow-up,Cross-pin femoral fixation versus m,2005,10.1016/j.arthro.2004.09.013,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Laxdal G. (2005),Embase,"Laxdal G., Kartus J., Hansson L., Heidvall M., Ejerhed L., Karlsson J.",Laxdal G.,A prospective randomized comparison of bone-patellar tendon-bone and hamstring grafts for anterior cruciate ligament reconstruction,A prospective randomized comparison,2005,10.1016/j.arthro.2004.09.014,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Aglietti P. (2004),Embase,"Aglietti P., Giron F., Buzzi R., Biddau F., Sasso F.",Aglietti P.,"Anterior cruciate ligament reconstruction: Bone-patellar tendon-bone compared with double semitendinosus and gracilis tendon grafts - A prospective, randomized clinical trial",Anterior cruciate ligament reconstr,2004,10.2106/00004623-200410000-00004,Journal of Bone and Joint Surgery,,,
,Beynnon B.D. (2002),Embase,"Beynnon B.D., Johnson R.J., Fleming B.C., Kannus P., Kaplan M., Samani J., RenstroÌˆm P.",Beynnon B.D.,"Anterior cruciate ligament replacement: Comparison of bone-patellar tendon-bone grafts with two-strand hamstring grafts. A prospective, randomized study",Anterior cruciate ligament replacem,2002,10.2106/00004623-200209000-00001,Journal of Bone and Joint Surgery,,,
,Aune A.K. (2001),Embase,"Aune A.K., Holm I., Risberg M.A., Jensen H.K., Steen H.",Aune A.K.,Four-strand hamstring tendon autograft compared with patellar tendon-bone autograft for anterior cruciate ligament reconstruction: A randomized study with two-year follow-up,Four-strand hamstring tendon autogr,2001,10.1177/03635465010290060901,American Journal of Sports Medicine,,,
,Anderson A.F. (2001),Embase,"Anderson A.F., Snyder R.B., Lipscomb Jr. A.B.",Anderson A.F.,Anterior cruciate ligament reconstruction. A prospective randomized study of three surgical methods,Anterior cruciate ligament reconstr,2001,10.1177/03635465010290030201,American Journal of Sports Medicine,,,
,Eriksson K. (2001),Embase,"Eriksson K., Anderberg P., Hamberg P., LÃ¶fgren A.C., Bredenberg M., Westman I., Wredmark T.",Eriksson K.,A comparison of quadruple semitendinosus and patellar tendon grafts in reconstruction of the anterior cruciate ligament,A comparison of quadruple semitendi,2001,10.1302/0301-620X.83B3.11685,Journal of Bone and Joint Surgery - Series B,,,
,Arciero R.A. (1996),Embase,"Arciero R.A., Scoville C.R., Hayda R.A., Snyder R.J.",Arciero R.A.,"The effect of tourniquet use in anterior cruciate ligament reconstruction: A prospective, randomized study",The effect of tourniquet use in ant,1996,10.1177/036354659602400610,American Journal of Sports Medicine,,,
,Lawless A.M. (2026),Embase,"Lawless A.M., Ebert J.R., Edwards P.K., Malik S.S., Davies P.S.E., D'Alessandro P.A.",Lawless A.M.,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial,A semitendinosus with adjustable bu,2026,10.1002/ksa.12698,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,,
,Yadav A.K. (2025),Embase,"Yadav A.K., Sharma A., Paul N., Bhakhar A., Sarkar B., Azam M.Q.",Yadav A.K.,Quadriceps versus hamstrings autograft in anterior cruciate ligament reconstruction: a randomized control trial,Quadriceps versus hamstrings autogr,2025,10.1007/s00590-025-04510-2,European Journal of Orthopaedic Surgery and Traumatology,,,
,Castellanos Dolk D. (2025),Embase,"Castellanos Dolk D., Sarakatsianos V., WÃ¶rner T., Ã–stin M., Cristiani R., Kvist J., StÃ¥lman A.",Castellanos Dolk D.,Semitendinosus vs quadriceps tendon autograft in anterior cruciate ligament reconstruction (SEQUAR): protocol for a prospective randomized controlled trial,Semitendinosus vs quadriceps tendon,2025,10.1186/s12891-025-09183-w,BMC Musculoskeletal Disorders,,,
,Cao X. (2025),Embase,"Cao X., Liu J., Zhao J., Feng S., Zhao Z.",Cao X.,Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes,Evaluation of the Application of BO,2025,10.1123/jsr.2024-0160,Journal of sport rehabilitation,,,
,Martinez-Cano J.P. (2025),Embase,"Martinez-Cano J.P., Gallego A., Cuadros J., Ibarra L., MejÃ­a F.M., Velasquez-Hammerle M.V., Martinez-Rondanelli A.",Martinez-Cano J.P.,Similar results with quadrupled semitendinosus and semitendinosus-gracilis graft in anterior cruciate ligament reconstruction: A randomised controlled trial with 2-year follow-up,Similar results with quadrupled sem,2025,10.1002/jeo2.70399,Journal of Experimental Orthopaedics,,,
,Kadivar Y. (2025),Embase,"Kadivar Y., Katariya C., Merja H.",Kadivar Y.,Impact of early versus delayed rehabilitation protocols on lower limb strength symmetry after hamstring tendon autograft ACL reconstruction,Impact of early versus delayed reha,2025,10.69605/ijlbpr_14.7.2025.278,International Journal of Life Sciences Biotechnology and Pharma Research,,,
,Calvert N.D. (2025),Embase,"Calvert N.D., Ebert J.R., Radic R.",Calvert N.D.,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft,Kneeling tolerance when using quadr,2025,10.1002/ksa.12583,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,,
,LaPrade C.M. (2025),Embase,"LaPrade C.M., Carey E.G., Gachigi K.K., Erbe M., Gabriel C., Riboh J.C.",LaPrade C.M.,The addition of lateral extra-articular augmentation procedures to bone-tendon-bone or quadriceps autograft anterior cruciate ligament reconstruction does not negatively affect physical or psychological readiness for return to sport at 6 and 9 months,The addition of lateral extra-artic,2025,10.1002/ksa.12710,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,,
,Ebert J.R. (2024),Embase,"Ebert J.R., Calvert N.D., Radic R.",Ebert J.R.,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction,A Prospective Randomized Controlled,2024,10.1177/03635465231222279,The American journal of sports medicine,,,
,Tang N. (2024),Embase,"Tang N., Eren M., Gurpinar T., Ozturkmen Y.",Tang N.,A prospective randomized controlled study of hamstring and bone-free quadriceps tendons autografts in arthroscopic ACL reconstruction,A prospective randomized controlled,2024,10.1007/s00590-023-03636-5,European Journal of Orthopaedic Surgery and Traumatology,,,
,Wang X. (2024),Embase,"Wang X., Xu Z., Song S., Mao Z., Huang X., Luo M., Zhou X., Xu B., Ye J., Song Y., Yu J.",Wang X.,Which technique provides more benefits in return to sports and clinical outcomes after anterior cruciate ligament reconstruction: Double-bundle or single-bundle? A randomized controlled study,Which technique provides more benef,2024,10.1097/CM9.0000000000003267,Chinese Medical Journal,,,
,Khatri R.Y. (2023),Embase,"Khatri R.Y., Patil V., Kulkarni S., Naik S., Nandi S.",Khatri R.Y.,Functional Outcomes of Quadriceps Tendon versus Hamstring Tendon Autograft using Suspensory Fixation at Femoral and Tibial Sites for Primary Anterior Cruciate Ligament Reconstruction: A Randomised Controlled Study,Functional Outcomes of Quadriceps T,2023,10.7860/JCDR/2023/64284.18350,Journal of Clinical and Diagnostic Research,,,
,Ong M.T.-Y. (2022),Embase,"Ong M.T.-Y., Man G.C.-W., Lau L.C.-M., He X., Qiu J., Wang Q., Chow M.C.-S., Choi B.C.-Y., Yu M., Yung P.S.-H.",Ong M.T.-Y.,"Effect of pulsed electromagnetic field as an intervention for patients with quadriceps weakness after anterior cruciate ligament reconstruction: a double-blinded, randomized-controlled trial",Effect of pulsed electromagnetic fi,2022,10.1186/s13063-022-06674-2,Trials,,,
